core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
2,RPAS_8598,POLL,4.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_7815,ACTIVE,5.6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8268,NOTIFY,5.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8477,POLL,5.2,96,4,27,0,0,0,128,0,0,0
2,5693,TFU,268.8,212,3,31,90072,18056,0,128,614400,256000,0
2,RPAS_8181,NOTIFY,5.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8599,POLL,4.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_7816,ACTIVE,3.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_8269,NOTIFY,3.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_8478,POLL,5.16,96,4,27,0,0,0,128,0,0,0
2,5694,TFU,132.76,155,3,25,10036,14018,0,128,512000,256000,0
